,ContractId,VersionId,Subject,PublishedAtUtc,ValueVatExcluded,ValueVatIncluded,SupplierIC,SupplierName,PublisherIC,PricePaid
6696,161361,170465,Objednávka - stravenky Ticket Restaurant nominální hodnota poukázky 80 Kč,2016-09-01 10:16:23,524160.0,,24745391,Edenred CZ s.r.o.,216224,524160.0
6698,1097665,1168565,Objednání stravenek ZZS Příbram - leden 2017,2017-02-02 13:32:29,,87050,24745391,Edenred CZ s.r.o.,75030926,87050.0
6699,825425,878405,Objednávka stravenek  11/2016,2016-12-21 12:50:08,52695.0,52695,24745391,Edenred CZ s.r.o.,37494,52695.0
6705,866617,922493,Objednávka stravenek,2016-12-29 14:11:22,,98084,24745391,Edenred CZ s.r.o.,75014149,98084.0
6706,1001681,1067189,Objednávka stravenek Ticket Restaurant,2017-01-20 11:45:35,,513598,24745391,Edenred CZ s.r.o.,263991,513598.0
6708,158473,564277,Objednávka stravenek,2016-11-10 15:40:07,132350.0,132625,24745391,Edenred CZ s.r.o.,26154170,132350.0
6710,1022509,1088513,Objednávka č. 1198/0006/17 - stravenky,2017-01-23 13:31:36,341280.0,,24745391,Edenred CZ s.r.o.,216224,341280.0
6711,1192885,1270745,Objednávka stravenek pro zaměstnance,2017-02-16 15:07:02,,70000,24745391,Edenred CZ s.r.o.,72553995,70000.0
6712,404157,431381,Objednávka - stravenky na 11/2016,2016-10-20 13:31:25,446720.0,,24745391,Edenred CZ s.r.o.,216224,446720.0
6713,560509,596501,Objednávka_stravenky 10/2016_ÚzP Bruntál ,2016-11-15 14:12:30,105950.0,105950,24745391,Edenred CZ s.r.o.,72080043,105950.0
6714,772097,821349,Objednávka stravenek ÚzP Brno-venkov 12/2016 (AVISme 2016001274),2016-12-14 08:37:19,130130.0,130130,24745391,Edenred CZ s.r.o.,72080043,130130.0
6717,1119225,1191261,"2118 - stravenky únor/2017, 1075 ks (AVISme 2016001998)",2017-02-06 16:12:51,75250.0,75250,24745391,Edenred CZ s.r.o.,72080043,75250.0
6718,1060477,1128893,Objednácka stravenek,2017-01-27 12:18:40,,71600,24745391,Edenred CZ s.r.o.,293199,71600.0
6719,1215633,1297121,dodávka stravenek,2017-02-21 12:42:51,120273.0,145530,24745391,Edenred CZ s.r.o.,25291,120273.0
6720,31429,32485,Smlouva nákup stravenek - PřFMU/Edenred,2016-07-27 11:02:23,820240.0,,24745391,Edenred CZ s.r.o.,216224,820240.0
6722,953625,1015881,objednávka stravenek 1/2017,2017-01-12 14:09:37,241500.0,244422,24745391,Edenred CZ s.r.o.,26154170,241500.0
6723,413989,440773,objednávka stravenek_edenred,2016-10-21 14:57:34,1041322.0,1260000,24745391,Edenred CZ s.r.o.,47813059,1041322.0
6724,5069975,5463875,Obj.- stravenky květen 2018,2018-05-07 10:42:33,154545.0,187000,62913671,Up Česká republika s.r.o.,829013,154545.0
6729,5324475,5732711,Objednávka č. 18/625160046 - stravenky JPO Přerov,2018-06-01 14:50:24,50565.0,,62913671,Up Česká republika s.r.o.,70994234,50565.0
6733,5287251,5693039,Objednávka stravenek na červen 2018,2018-05-30 08:31:16,84000.0,84000,62913671,Up Česká republika s.r.o.,24716,84000.0
6734,5082119,5476911,Objednávka stravenky 4/2018,2018-05-09 13:11:03,190350.0,,62913671,Up Česká republika s.r.o.,70994234,190350.0
6738,5083583,5478451,Objednávka - stravenky 4/2018,2018-05-09 14:08:33,1300120.0,,62913671,Up Česká republika s.r.o.,70994234,1300120.0
6741,5081243,5476011,Objednávka stravenek na duben 18,2018-05-09 12:20:24,51675.0,,62913671,Up Česká republika s.r.o.,70923477,51675.0
6742,5128935,5526379,Objednávka - stravenky 29.1.2018,2018-05-15 08:43:50,40000.0,,62913671,Up Česká republika s.r.o.,25144251,40000.0
6744,5053079,5445895,Objednávka poukázek - stravenky,2018-05-04 07:49:45,,62400,62913671,Up Česká republika s.r.o.,289965,62400.0
6745,5242243,5645739,Objednávka stravenek,2018-05-24 14:19:42,80000.0,80000,62913671,Up Česká republika s.r.o.,48282961,80000.0
6746,5063991,5457591,Objednávka stravenek 5/2018,2018-05-04 15:31:03,,118082,62913671,Up Česká republika s.r.o.,67985530,118082.0
6747,5666635,6339843,Objednávka - personifikované stravenky,2018-08-06 12:38:46,,557495,62913671,Up Česká republika s.r.o.,301825,557495.0
6750,5286379,5692135,Nákup stravenek,2018-05-30 07:36:05,330000.0,330000,62913671,Up Česká republika s.r.o.,24759,330000.0
6752,1511030,1629946,objednavka stravenky le cheque dejeuner pro opf,2017-04-04 12:50:24,210000.0,210000,62913671,Up Česká republika s.r.o.,47813059,210000.0
6754,5892127,6348935,Objednávka stravenek pro ZZS Kutná Hora - červenec 2018,2018-08-07 10:28:03,,64830,62913671,Up Česká republika s.r.o.,75030926,64830.0
6756,5859555,6313603,Nákup stravenek pro zaměstnance,2018-08-02 07:52:17,130000.0,130000,62913671,Up Česká republika s.r.o.,24881,130000.0
6763,5060119,5453347,objednávka stravenky květen 2018,2018-05-04 12:50:07,144000.0,,62913671,Up Česká republika s.r.o.,254061,144000.0
6764,5132319,5529891,Objednávka stravenek pro zaměstnance za duben 2018,2018-05-15 10:48:31,221220.0,221220,62913671,Up Česká republika s.r.o.,24899,221220.0
6767,5128803,5526247,Objednávka - stravenky 27.11.2017,2018-05-15 08:37:54,50000.0,,62913671,Up Česká republika s.r.o.,25144251,50000.0
6771,5880323,6336131,Objednávka stravenek 8/2018,2018-08-06 09:25:12,,125682,62913671,Up Česká republika s.r.o.,67985530,125682.0
6775,5870939,6326107,Objednávka 18/310000012 na stravenky za 7/18 pro CDP Praha,2018-08-03 08:59:09,360740.0,,62913671,Up Česká republika s.r.o.,70994234,360740.0
6779,4280896,6314375,Objednávka stravenek ,2018-08-02 08:49:28,493920.0,,62913671,Up Česká republika s.r.o.,215708,493920.0
6786,351293,374493,Nákup stravenek 10/2016,2016-10-11 13:39:33,70000.0,70000,62913671,Up Česká republika s.r.o.,24741,70000.0
6790,3058890,3295642,nákup stravenek,2017-10-02 09:05:03,111510.0,111510,62913671,Up Česká republika s.r.o.,24856,111510.0
6791,2565638,2761814,Objednávka stravenek,2017-08-02 13:17:28,3500000.0,,62913671,Up Česká republika s.r.o.,70994234,3500000.0
6797,2561510,2757298,Nákup stravenek 8/2017 ,2017-08-02 09:46:25,80000.0,80000,62913671,Up Česká republika s.r.o.,24741,80000.0
6800,2256106,2433010,objednávka stravenek,2017-06-30 08:32:48,64000.0,,62913671,Up Česká republika s.r.o.,320463,64000.0
6809,2625754,2825654,Nákup stravenek za červenec 2017,2017-08-09 08:15:34,290000.0,,62913671,Up Česká republika s.r.o.,205,290000.0
6815,4018340,4326936,Nákup stravenek pro zaměstnance,2018-01-09 12:40:42,112000.0,112000,62913671,Up Česká republika s.r.o.,24881,112000.0
6818,2095650,2258466,Objednávka k nákupu stravenek,2017-06-19 09:51:16,285520.0,,62913671,Up Česká republika s.r.o.,272868,285520.0
6820,4509320,4862904,Objednávka stravenek na březen 2018,2018-03-05 13:50:20,,64600,62913671,Up Česká republika s.r.o.,24783,64600.0
6823,3021010,3254862,Objednávka stravenek,2017-09-26 09:45:31,,125400,62913671,Up Česká republika s.r.o.,270059,125400.0
6826,2005602,2162070,Objednávka stravenej na měsíc červen 2017,2017-06-08 13:11:19,,51360,62913671,Up Česká republika s.r.o.,24783,51360.0
6827,3529564,3804504,stravenky,2017-11-20 12:30:08,137500.0,137500,62913671,Up Česká republika s.r.o.,261912,137500.0
6834,3378948,3643928,"8129 - nákup  1 124 ks stravovacích poukázek - září 2017,  částka 29 068,- je hrazena z FKSP, 1 118  ks stravenek s příspěvkem z FKSP",2017-11-02 15:22:17,,49982,62913671,Up Česká republika s.r.o.,60162694,49982.0
6837,3672360,3961532,nákup stravenek ,2017-12-04 10:03:34,94140.0,94140,62913671,Up Česká republika s.r.o.,24856,94140.0
6838,3385012,3650516,nákup stravenek ,2017-11-03 10:16:14,108360.0,108360,62913671,Up Česká republika s.r.o.,24856,108360.0
6839,4658384,5024180,Objednávka stravenek pro zaměstnance za měsíc únor 2018,2018-03-21 10:38:24,214380.0,214380,62913671,Up Česká republika s.r.o.,24899,214380.0
6841,1971642,2125734,Objednávka stravenek,2017-06-05 14:01:21,265400.0,,62913671,Up Česká republika s.r.o.,64053466,265400.0
6845,1525846,1645754,stravenky pro zaměstnance MěÚ na období 4 - 6/2017,2017-04-05 15:33:23,560000.0,563000,62913671,Up Česká republika s.r.o.,253901,560000.0
6847,3722720,4015848,Objednávka stravenek č. 0170100740,2017-12-07 13:49:51,,145000,62913671,Up Česká republika s.r.o.,68378025,145000.0
6849,2932618,3158098,stravenky 8/17,2017-09-15 09:32:52,200000.0,,62913671,Up Česká republika s.r.o.,205,200000.0
6851,3369976,3634136,Objednávka stravenky listopad 2017,2017-11-02 09:10:24,,68888,62913671,Up Česká republika s.r.o.,45241651,68888.0
6852,2928250,3153454,objednávka - stravenky,2017-09-14 15:04:13,390000.0,,62913671,Up Česká republika s.r.o.,64459,390000.0
6855,4273264,4604864,Objednávka stravenek za 1/2018 pro CDP Praha ,2018-02-06 10:19:04,341200.0,,62913671,Up Česká republika s.r.o.,70994234,341200.0
6856,4301908,4635680,Objednávka stravenek leden 2018,2018-02-08 10:51:50,56615.0,57747,62913671,Up Česká republika s.r.o.,70923477,56615.0
6861,1685950,1820098,Nákup stravenek KSZ v Plzni - duben 2017,2017-04-28 08:28:40,270000.0,270000,62913671,Up Česká republika s.r.o.,26034,270000.0
6871,3983932,4287660,stravenky pro zaměstnance MěÚ,2018-01-05 10:48:40,413223.0,5e+05,62913671,Up Česká republika s.r.o.,253901,413223.0
6876,2735490,2943910,nákup stravenek,2017-08-23 11:05:47,91100.0,91331,62913671,Up Česká republika s.r.o.,601250,91100.0
6878,2541662,2736010,stravenky ,2017-07-31 13:32:18,98190.0,98190,62913671,Up Česká republika s.r.o.,24856,98190.0
6881,1992066,2147530,Objednávka stravenek,2017-06-07 11:37:58,256900.0,,62913671,Up Česká republika s.r.o.,64610250,256900.0
6882,2561590,3023162,Objednávka stravenky srpen,2017-08-31 12:55:50,,147378,62913671,Up Česká republika s.r.o.,25333411,147378.0
6883,2490958,2682394,Nákup stravenek za 6/2017.,2017-07-26 09:31:56,,47098,62913671,Up Česká republika s.r.o.,60162694,47098.0
6884,2348854,2532182,stravenky červenec,2017-07-12 08:12:37,,23693,62913671,Up Česká republika s.r.o.,69650721,23693.0
6889,4657512,5023276,Nákup stravenek pro OSZ v Karlových Varech - březen,2018-03-21 10:09:46,140000.0,140000,62913671,Up Česká republika s.r.o.,26034,140000.0
6894,4795168,5171116,Objednávka poukázek (typ stravenky) ,2018-04-06 09:32:51,310750.0,,62913671,Up Česká republika s.r.o.,64053466,310750.0
6899,2299854,2480042,Objednávka stravenek ,2017-07-04 10:31:40,,54000,62913671,Up Česká republika s.r.o.,289965,54000.0
6900,3085454,3324854,objednávka stravenek pro fakultu,2017-10-04 09:23:55,350000.0,350000,62913671,Up Česká republika s.r.o.,47813059,350000.0
6903,891681,949437,Objednávka_stravenky_ÚzP Louny + Žatec - ID 891485 (AVISme 2016001570),2017-01-04 09:20:55,132440.0,132440,62913671,Up Česká republika s.r.o.,72080043,132440.0
6905,45409,68357,Objednávka - stravenky KP OL 07/2016,2016-08-08 10:05:03,,78050,62913671,Up Česká republika s.r.o.,71185186,78050.0
6908,957361,1019897,Nákup stravenek na leden 2017,2017-01-13 09:24:46,,185725,62913671,Up Česká republika s.r.o.,24848,185725.0
6909,1225665,1308489,Nákup šekových knížek - stravenek,2017-02-22 14:03:44,50752.0,50825,62913671,Up Česká republika s.r.o.,47723394,50752.0
6913,371049,395285,stravenky červenec,2016-10-14 09:43:18,,19075,62913671,Up Česká republika s.r.o.,69650721,19075.0
6914,31585,32657,Objednávka stravenek - 7/2016,2016-07-27 11:40:47,100000.0,102420,62913671,Up Česká republika s.r.o.,25270095,100000.0
6915,318573,340133,Objednávka stravenek - září,2016-10-05 11:22:16,,172480,62913671,Up Česká republika s.r.o.,67985955,172480.0
6916,1224593,1307317,Objednávka stravenek,2017-02-22 13:07:05,92880.0,,62913671,Up Česká republika s.r.o.,25270095,92880.0
6917,82593,87641,Nákup stravenek,2016-08-11 14:28:49,91100.0,91331,62913671,Up Česká republika s.r.o.,601250,91100.0
6919,893101,951041,Objednávka_stravenky na 01/2017_ÚP v Karviné  (AVISme 2016001585),2017-01-04 10:49:21,275550.0,275550,62913671,Up Česká republika s.r.o.,72080043,275550.0
6921,998921,1064253,Nákup stravenek,2017-01-20 08:22:58,292800.0,,62913671,Up Česká republika s.r.o.,272868,292800.0
6922,675977,717837,objednávka stravenek,2016-11-30 12:50:59,150000.0,,62913671,Up Česká republika s.r.o.,64053466,150000.0
6923,691013,734149,Nákup stravenek pro zaměstnance,2016-12-02 07:09:58,210600.0,210600,62913671,Up Česká republika s.r.o.,24759,210600.0
6924,731225,777097,Objednávka_stravenky 12/2016_ÚzP Frýdek Místek  (AVISme 2016001046),2016-12-07 14:56:20,140700.0,140700,62913671,Up Česká republika s.r.o.,72080043,140700.0
6925,1117721,1189661,Nákup stravenek pro KSZ v Plzni - leden 2017,2017-02-06 14:34:24,120000.0,120000,62913671,Up Česká republika s.r.o.,26034,120000.0
6929,1119893,1191969,Objednávka stravenek,2017-02-06 17:00:59,,120000,62913671,Up Česká republika s.r.o.,270059,120000.0
6930,1212505,1293549,Nákup stravenek,2017-02-21 09:04:12,342240.0,,62913671,Up Česká republika s.r.o.,272868,342240.0
6934,895905,954317,Objednávka_stravenky_ÚzP v Ústí nad Labem 1/2017 (AVISme 2016001596),2017-01-04 12:57:55,187180.0,187180,62913671,Up Česká republika s.r.o.,72080043,187180.0
6936,3076846,3315298,objednávka stravenek říjen 2017,2017-10-03 12:50:05,,184000,62913671,Up Česká republika s.r.o.,254061,184000.0
7053,4272404,4603920,Objednávka stravenek únor 2018,2018-02-06 09:41:51,241108.0,,24745391,Edenred CZ s.r.o.,272728,241108.0
7056,3332728,3594652,Objednávka 600 ks stravenek říjen 2017,2017-10-30 15:14:18,49586.0,60000,24745391,Edenred CZ s.r.o.,61387584,49586.0
7058,4505944,4859152,Objednávka stravenek pro ZZS Příbram - únor 2018,2018-03-05 10:52:57,31221.0,82175,24745391,Edenred CZ s.r.o.,75030926,31221.0
7060,771573,820785,"Objednávka stravenek pro FÚ pro Kraj Vysočina, ÚzP v Havlíčkově Brodě na prosinec 2016. (AVISme 2016001266)",2016-12-14 07:57:40,73780.0,73780,24745391,Edenred CZ s.r.o.,72080043,73780.0
7061,377201,401701,nákup stravenek - příspěvek zaměstnavatele,2016-10-17 09:10:28,,69950,24745391,Edenred CZ s.r.o.,48161161,69950.0
7063,3386184,3651752,Objednávka stravenek,2017-11-03 11:06:13,136976.0,,24745391,Edenred CZ s.r.o.,25583140,136976.0
7065,3841220,4142528,Obchodní smlouva stravenky,2017-12-19 08:02:23,,970000,24745391,Edenred CZ s.r.o.,65759800,970000.0
7067,4654896,5020468,Objednávka stravenky,2018-03-21 07:45:22,,161500,24745391,Edenred CZ s.r.o.,27504689,161500.0
7068,4684960,5052388,Objednávka stravenek pro zaměstnance ÚMČ P11 na březen 2018.,2018-03-23 10:10:18,394261.0,394693,24745391,Edenred CZ s.r.o.,231126,394261.0
7071,4779448,5154200,Objednávka stravenek duben 2018,2018-04-05 07:20:09,757800.0,,24745391,Edenred CZ s.r.o.,215724,757800.0
7072,3525684,3800192,stravenky na prosinec 2017,2017-11-20 09:31:28,,56560,24745391,Edenred CZ s.r.o.,44992785,56560.0
7074,4823696,5201432,"stravenky pro zaměstnance na duben, Edenred Praha",2018-04-10 08:42:21,147838.0,148124,24745391,Edenred CZ s.r.o.,274101,147838.0
7079,3360040,3623408,stravenky za 10/2017 755 ks,2017-11-01 12:42:01,75570.0,75584,24745391,Edenred CZ s.r.o.,75014149,75570.0
7080,3865388,4168600,Objednávka stravenek na období 1/2018,2017-12-20 11:45:15,200000.0,2e+05,24745391,Edenred CZ s.r.o.,300063,200000.0
7081,4335352,4671848,Objednávka stravenek.,2018-02-13 05:29:58,136363.0,165000,24745391,Edenred CZ s.r.o.,47813750,136363.0
7083,3969660,5205912,nákup stravenek pro zaměstnance na měsíc leden 2018,2018-04-10 11:29:21,214830.0,,24745391,Edenred CZ s.r.o.,70837911,214830.0
7084,2935582,4202024,dodávka stravenek,2017-12-21 17:09:31,62100.0,,24745391,Edenred CZ s.r.o.,72063904,62100.0
7087,4715268,5085348,Nákup stravenek Ticket Restaurant,2018-03-27 13:53:39,,52069,24745391,Edenred CZ s.r.o.,62330420,52069.0
7095,3767284,4063112,Objednávka - stravenky,2017-12-12 11:58:22,100000.0,1e+05,24745391,Edenred CZ s.r.o.,284653,100000.0
7096,4775428,5150024,Objednávka stravenky,2018-04-04 15:02:26,222275.0,,24745391,Edenred CZ s.r.o.,272728,222275.0
7098,3831344,4132000,Objednávka stravenek,2017-12-18 12:34:35,,88641,24745391,Edenred CZ s.r.o.,293199,88641.0
7100,3576780,3855108,stravenky,2017-11-23 15:03:08,84000.0,84000,24745391,Edenred CZ s.r.o.,277819,84000.0
7102,4984892,5373468,dodávka stravenek,2018-04-26 07:21:23,110702.0,133950,24745391,Edenred CZ s.r.o.,25291,110702.0
7106,4847292,5226668,stravenky na květen,2018-04-11 16:52:35,,72000,24745391,Edenred CZ s.r.o.,44992785,72000.0
7117,3874624,4178764,Objednávka stravenek na leden 2018,2017-12-20 16:37:26,197700.0,,24745391,Edenred CZ s.r.o.,275336,197700.0
7118,3777760,4074208,stravenky pro zaměstnance,2017-12-13 08:14:29,,179550,24745391,Edenred CZ s.r.o.,25632141,179550.0
7129,4036628,4347356,stravenky pro zaměstnance na leden2018 Edenred Praha,2018-01-10 17:03:42,162898.0,1764,24745391,Edenred CZ s.r.o.,274101,162898.0
7131,3748448,4042788,Objednávka stravenky 12/2017,2017-12-11 09:10:41,120750.0,120750,24745391,Edenred CZ s.r.o.,282707,120750.0
7132,4868800,5249996,Objednávka stravenek,2018-04-13 13:28:03,132940.0,133557,24745391,Edenred CZ s.r.o.,48806145,132940.0
7133,3600248,3881716,stravenky+provize,2017-11-27 13:13:00,,219502,24745391,Edenred CZ s.r.o.,282651,219502.0
7135,3370336,3634536,Objednávka stravenek - listopad,2017-11-02 09:25:55,189630.0,189630,24745391,Edenred CZ s.r.o.,47609109,189630.0
7139,3458664,3729700,Nákup stravenek - listopad 2017,2017-11-10 11:21:50,,219600,24745391,Edenred CZ s.r.o.,24457,219600.0
7141,4044932,4356348,Objednávka stravenky 01/2018,2018-01-11 13:03:04,224800.0,,24745391,Edenred CZ s.r.o.,216224,224800.0
7146,3756784,4051780,objednávka stravenek - prosinec 2017,2017-12-11 14:11:21,46542.0,46734,24745391,Edenred CZ s.r.o.,512362,46542.0
7151,4058896,4373728,Objednávka stravenek Ticket Restaurant,2018-01-12 13:41:08,250000.0,250000,24745391,Edenred CZ s.r.o.,26016541,250000.0
7160,4432324,4778808,Objednávka č. 1198/0021/18 - stravenky na březen 2018,2018-02-23 11:47:08,392480.0,,24745391,Edenred CZ s.r.o.,216224,392480.0
7161,3477508,3748348,stravenky pro zaměstnance na měsíc listopad 2017 Edenred Praha,2017-11-13 14:07:12,136204.0,1602,24745391,Edenred CZ s.r.o.,274101,136204.0
7162,4540640,4897364,Objednávka stravenek Ticket Restaurant,2018-03-08 08:43:30,300000.0,3e+05,24745391,Edenred CZ s.r.o.,26016541,300000.0
7167,4239208,4568496,Dílčí plnění stravenky Hradec Králové  leden 2018,2018-02-01 12:25:02,,101360,24745391,Edenred CZ s.r.o.,60162694,101360.0
7172,3438904,3708408,Nákup stravenek 11-2017,2017-11-08 17:08:25,535500.0,,24745391,Edenred CZ s.r.o.,25062,535500.0
7177,4506524,4859796,Objednávka stravenek pro ZZS Praha-východ - únor 2018,2018-03-05 11:15:22,,66700,24745391,Edenred CZ s.r.o.,75030926,66700.0
7178,4305700,4639960,Nákup stravenek 02-2018,2018-02-08 14:18:56,630000.0,,24745391,Edenred CZ s.r.o.,25062,630000.0
7180,4266344,4597344,Objednávka stravenek na únor 2018,2018-02-05 15:05:29,94850.0,94850,24745391,Edenred CZ s.r.o.,71185216,94850.0
7183,4492556,4844420,"objednávka stravenek na 1,2/2018",2018-03-02 09:57:27,,37081,24745391,Edenred CZ s.r.o.,240711,37081.0
7185,4503880,4856852,Objednávka stravenek pro ZZS Benešov - únor 2018,2018-03-05 09:27:08,,68950,24745391,Edenred CZ s.r.o.,75030926,68950.0
7190,3300132,3559232,Nákup stravenek,2017-10-26 09:01:33,1290240.0,,24745391,Edenred CZ s.r.o.,42196451,1290240.0
7191,4104012,4421428,Objednávka stravenek pro ÚMČ Praha 11 na 2. kolo prezidentských voleb,2018-01-17 17:16:26,94191.0,94294,24745391,Edenred CZ s.r.o.,231126,94191.0
7193,4786236,5161488,"Objednáváme u Vás 5 426 kusů stravenek po 90,00 Kč a 6 000 kusů stravenek po 30,00 Kč. na měsíc březen 2018.",2018-04-05 13:00:02,668340.0,668340,24745391,Edenred CZ s.r.o.,63517,668340.0
7208,2776838,3592724,stravenky,2017-10-30 14:15:00,84000.0,84000,24745391,Edenred CZ s.r.o.,277819,84000.0
7213,4778252,5153000,Objednávka stravenek pro ZZS Příbram - březen 2018,2018-04-04 19:03:46,,87175,24745391,Edenred CZ s.r.o.,75030926,87175.0
7219,3060082,3296978,stravenky,2017-10-02 10:08:28,,224000,24745391,Edenred CZ s.r.o.,44992785,224000.0
7220,1248694,1333198,Objednání stravenek pro ZZS Beroun - únor 2017,2017-02-27 12:02:58,,54025,24745391,Edenred CZ s.r.o.,75030926,54025.0
7222,2799434,3076074,dodání stravenek obj.č. 154/2017,2017-09-06 14:07:06,,330000,24745391,Edenred CZ s.r.o.,271632,330000.0
7223,3150466,3395718,stravenky na volby,2017-10-11 08:30:18,,64800,24745391,Edenred CZ s.r.o.,44992785,64800.0
7225,2923834,3148706,"Edenred CZ s.r.o.,  nákup 1 312 ks stravenek za období 8/2017 pro zaměstnance PH, Brno, ČB.",2017-09-14 11:24:01,,75761,24745391,Edenred CZ s.r.o.,60162694,75761.0
7226,202209,2382106,stravenky na září 2016,2017-06-28 09:41:43,80000.0,,24745391,Edenred CZ s.r.o.,25071,80000.0
7227,1664506,1796702,Objedávka stravenek,2017-04-26 09:41:46,66115.0,80000,24745391,Edenred CZ s.r.o.,47813750,66115.0
7228,2987854,3218966,Objednávka č. 1198/0108/17 - dodávka stravenek pro LF MU,2017-09-21 13:46:40,398080.0,,24745391,Edenred CZ s.r.o.,216224,398080.0
7230,2579042,2776286,Objednávka stravenek na srpen 2017,2017-08-03 13:05:10,95750.0,95750,24745391,Edenred CZ s.r.o.,71185216,95750.0
7232,4972164,5359968,Objednávka č. 4102/0022/18 - stravenky na 5/2018,2018-04-25 08:16:49,489440.0,,24745391,Edenred CZ s.r.o.,216224,489440.0
7234,3962032,4264800,Objednávka stravenek leden 2018,2018-01-03 14:58:12,977310.0,,24745391,Edenred CZ s.r.o.,215724,977310.0
7238,2914886,3139014,Objednávka stravenky září,2017-09-13 13:53:40,167439.0,202600,24745391,Edenred CZ s.r.o.,18562,167439.0
7239,2185350,2355298,stravenky za leden 2017,2017-06-26 17:53:46,245840.0,245840,24745391,Edenred CZ s.r.o.,62933591,245840.0
7245,1763870,1903026,Objednávka stravenek č. O190/2017/0181/OKT,2017-05-10 13:35:12,,364587,24745391,Edenred CZ s.r.o.,63461,364587.0
7396,756109,804225,Objednávka stravenek,2016-12-12 11:26:51,,153230,24745391,Edenred CZ s.r.o.,45241295,153230.0
7397,456061,485521,Objednávka stravenek Benešov - listopad 2016,2016-10-31 18:16:58,,88550,24745391,Edenred CZ s.r.o.,75030926,88550.0
7401,524837,776349,Objednávka_stravenky 09/2016_ÚzP Ostrava II (AVISme 2016001035),2016-12-07 14:21:53,114960.0,114960,24745391,Edenred CZ s.r.o.,72080043,114960.0
7402,438377,466837,Objednávka stravenek č. 195/16,2016-10-26 14:43:09,168840.0,168840,24745391,Edenred CZ s.r.o.,47609109,168840.0
7403,723965,769397,Objednávka stravenek 12/2016 FÚ pro Středočeský kraj (AVISme 2016001004),2016-12-07 07:56:27,116200.0,116200,24745391,Edenred CZ s.r.o.,72080043,116200.0
7404,966581,1029577,Objednávka stravenek OOVV-0008-2017,2017-01-16 09:26:49,143400.0,,24745391,Edenred CZ s.r.o.,272728,143400.0
7405,1119277,1191321,Objednávka: 2111 - stravenky na měsíc únor 2017 (AVISme 2016001999),2017-02-06 16:18:42,113190.0,113190,24745391,Edenred CZ s.r.o.,72080043,113190.0
7407,201481,213041,Objednávka č. 3590081851 - nákup stravenek na srpen,2016-09-09 10:01:21,147810.0,,24745391,Edenred CZ s.r.o.,62156462,147810.0
7409,419105,446213,Objednávka stravenek,2016-10-24 11:59:51,,98000,24745391,Edenred CZ s.r.o.,301493,98000.0
7410,315649,338817,Objednávka stravenek na měsíc srpen 2016,2016-10-05 10:03:46,55680.0,55680,24745391,Edenred CZ s.r.o.,24937,55680.0
7411,151621,160061,Objednávka stravenek pro ZZS Benešov,2016-08-30 13:59:30,,89875,24745391,Edenred CZ s.r.o.,75030926,89875.0
7412,1165941,1241257,Objednávka stravenek,2017-02-13 20:09:29,,99366,24745391,Edenred CZ s.r.o.,49314670,99366.0
7414,1139473,1213181,objednávka stravenek - únor 2017,2017-02-09 09:37:43,39713.0,39713,24745391,Edenred CZ s.r.o.,512362,39713.0
7415,723621,769029,Objednávka stravenek na 11/2016 ÚzP Praha-východ (AVISme 2016000991),2016-12-07 07:15:57,105420.0,105420,24745391,Edenred CZ s.r.o.,72080043,105420.0
7421,723649,769065,Objednávka stravenek na měsíc listopad 2016 ÚzP v Kolíně (AVISme 2016000993),2016-12-07 07:20:34,117670.0,117670,24745391,Edenred CZ s.r.o.,72080043,117670.0
7422,890569,948253,Objednávka stravenek,2017-01-04 07:57:33,,86510,24745391,Edenred CZ s.r.o.,293199,86510.0
7423,911365,970649,Objednávka stravenek ÚzP v Kolíně 1/2017 (2046 ks) (AVISme 2016001643),2017-01-06 08:08:43,143220.0,143220,24745391,Edenred CZ s.r.o.,72080043,143220.0
7425,377433,404065,Objednávka - stravenky září 2016,2016-10-17 11:41:57,64100.0,64100,24745391,Edenred CZ s.r.o.,297313,64100.0
7426,902037,960789,Objednávka - nákup stravenek,2017-01-05 08:10:44,238400.0,,24745391,Edenred CZ s.r.o.,64650871,238400.0
7427,4637772,5002248,stravenky,2018-03-19 16:35:17,108000.0,108000,24745391,Edenred CZ s.r.o.,277819,108000.0
7429,2588082,2785822,Objednávka stravenek,2017-08-04 10:18:53,66115.0,80000,24745391,Edenred CZ s.r.o.,47813750,66115.0
7430,4832884,5211488,Objednávka stravenek Edenred,2018-04-10 15:10:44,1041322.0,1260000,24745391,Edenred CZ s.r.o.,47813059,1041322.0
7435,2655062,2857018,Dílčí objednávka k obchodní smlouvě - stravenky srpen 2017 - ze dne 4. 8. 2017,2017-08-11 14:17:24,9600000.0,,24745391,Edenred CZ s.r.o.,70883858,9600000.0
7438,4867208,5248256,záloha stravenky + provize 4/2018,2018-04-13 12:06:27,,252016,24745391,Edenred CZ s.r.o.,282651,252016.0
7439,3972024,4275188,stravenky,2018-01-04 12:55:51,108000.0,108000,24745391,Edenred CZ s.r.o.,277819,108000.0
7442,2185362,2355310,"Nákup stravenek na duben, květen 2017",2017-06-26 18:01:39,630000.0,630000,24745391,Edenred CZ s.r.o.,62933591,630000.0
7443,2294606,2474538,Objednávka stravenek pro ZZS Praha-východ - červen 2017,2017-07-03 19:18:57,,80050,24745391,Edenred CZ s.r.o.,75030926,80050.0
